Created Variable Name  original position relates to https://mushroomobserver.org/species_lists/1417?q=1mg6c,Original position,Part,Comments,Data ,Reference,,,
more_macro_deep_low_sounding_audio_waves_during_growth_response,170,,,,,,,
more_macro_albinistic_leucistic_fruit_body_presence,171,,,,,,,
more_macro_secotioid_formation_present,172,,,,,,,
more_macro_mycelium_strongly_present_above_substrate_surface,173,,,,,,,
more_macro_aborts_pins_present,174,,,,,,,
more_macro_pileus_guttation_drops_present,175,,,,,,,
more_macro_stipe_guttation_drops_present,176,,,,,,,
more_macro_gills_guttation_drops_present,177,,,,,,,
more_macro_pileus_guttation_drops_color,178,,,,,,,
more_macro_stipe_guttation_drops_color,179,,,,,,,
more_macro_gills_guttation_drops_color,180,,,,,,,
more_macro_pileus_guttation_drops_abundance,181,,,,,,,
more_macro_stipe_guttation_drops_abundance,182,,,,,,,
more_macro_gills_guttation_drops_abundance,183,,,,,,,
more_macro_agaricicolous_growing_on_other_fungus,184,,,,,,,
more_macro_polymorphic,185,,,,,,,
more_macro_fungal_dysmorphias_present,186,,,,https://mushroomobserver.org/species_list/show_species_list/401,,,
more_macro_veil_thickness,187,,,,,,,
more_macro_veil_relative_strength,188,,,,,,,
more_macro_veil_overall_lifespan_developments,189,,,,,,,
more_macro_common_or_rare,190,,,,,,,
more_macro_how_fleshy_freshly_harvested,191,,,,,,,
more_macro_water_spots_present,192,,,,https://mushroomobserver.org/glossary_terms/2303?q=1nI5O,,,
low_magnification_colors_present,193,,,,,,,
low_magnification_setae_present,194,,,,,,,
low_magnification_automate_micaceous_structures,195,,,,,,,
macrochemical_color_reaction_nh4oh,196,,,,,,,
macrochemical_color_reaction_koh,197,,,,,,,
macrochemical_color_reaction_feso4,198,,,,,,,
macrochemical_color_reaction_pdab,199,,,,,,,
macrochemical_color_reaction_phenol,200,,,,,,,
macrochemical_color_reaction_schaeffer,201,,,,,,,
macrochemical_color_reaction_guiac,202,,,,,,,
 macrochemical_color_reaction_weiland_meixner,203,,,,,,,
 macrochemical_color_reaction_sulfovanillin,204,,,,,,,
macroscopic_aroma,204a,,Lookup Table,"almond-like, bakery-like, like dark cacao chocolate, apricot-like, like frozen orange juice, “normal/common,” cucumber-like, anise-like, garlic-like, coal-tar-like, radish-like, cedar-like, bleach-like, spermatic, shrimp-like, maraschino-cherry-like, acrid, other",,,,
macroscopic_taste,204b,,Lookup Table,,,,,
micro_pileus_trama_pattern,205,,,,,,,
micro_pileus_pileipellis_pattern,206,,Lookup Table,"Cutis, Dry Cutis, Ixocutis, Pluristratous Hymeniderm, Hymeniform, Trichoderm, other",,,,
micro_pilei_cystidia_present,207,,,,,,,
micro_pelei_cystidia_size,208,,,,,,,
micro_pelei_cystidia_form,209,,,,,,,
micro_pileipellis_end_hyphae_present,210,,,,,,,
micro_pileocystidia_present,211,,,,,,,
micro_setae_present,212,,,,,,,
micro_circumcystidia_present,213,,,,,,,
micro_pileipellis_end_hyphae_measurement,214,,,,,,,
micro_pileocystidia_measurement,215,,,,,,,
micro_setae_measurement,216,,,,,,,
micro_circumcystidia_measurement,217,,,,,,,
micro_circumcystidia_form,218,,,,,,,
micro_circumcystidia_form,219,,,,,,,
micro_circumcystidia_form,220,,,,,,,
micro_circumcystidia_form,221,,,,,,,
micro_clamp_connection_present,222,,,,,,,
micro_pileipellis_exhibits_encrusted_pigments,223,,,,,,,
micro_broom_cells_observed_in_pileipellis,224,,,,,,,
micro_apical_projections_observed_in_pileipellis,225,,,,,,,
micro_velipellis_present,226,,,,,,,
micro_lamellae_spore_width_max_nm,227,,,,,,,
micro_lamellae_spore_height_nm,228,,,,,,,
micro_lamellae_spore_width_max_nm,229,,,,,,,
micro_lamellae_spore_width_min_nm,230,,,,,,,
micro_lamellae_spore_height_max_nm,231,,,,,,,
micro_lamellae_spore_height_min_nm,232,,,,,,,
micro_lamellae_spore_shape,233,,,,,,,
micro_lamellae_spore_wall_thickness_nm,234,,,,,,,
micro_lamellae_spore_color,235,,,,,,,
micro_lamellae_spore_ornamentation,236,,,,,,,
micro_lamellae_spore_germ_pore_present,237,,,,,,,
micro_lamellae_spore_symmetry,238,,,,,,,
micro_lamellae_spore_attachment,239,,,,,,,
micro_lamellae_spore_membrane_perispore_present,240,,,,,,,
micro_lamellae_spore_pigmentation_test,241,,,,,,,
micro_lamellae_spore_inner_contents,242,,,,,,,
micro_lamellae_cheilocystidia_present,243,,,,,,,
micro_lamellae_cheilocystidia_width,244,,,,,,,
micro_lamellae_cheilocystidia_height,245,,,,,,,
micro_lamellae_cheilocystidia_shape,246,,,,,,,
micro_lamellae_cheilocystidia_color,247,,,,,,,
micro_lamellae_cheilocystidia_ornamentation,248,,,,,,,
micro_lamellae_cheilocystidia_crystals_present,249,,,,,,,
micro_lamellae_cheilocystidia_encrustation,250,,,,,,,
micro_lamellae_cheilocystidia_wall_thickness,251,,,,,,,
micro_lamellae_cheilocystidia_individual_variation,252,,,,,,,
micro_lamellae_cheilocystidia_contents,253,,,,,,,
micro_lamellae_pleurocystidia_present,254,,,,,,,
micro_lamellae_pleurocystidia_width,255,,,,,,,
micro_lamellae_pleurocystidia_height,256,,,,,,,
micro_lamellae_pleurocystidia_shape,257,,,,,,,
micro_lamellae_pleurocystidia_color,258,,,,,,,
micro_lamellae_pleurocystidia_ornamentation,259,,,,,,,
micro_lamellae_pleurocystidia_crystals_present,260,,,,,,,
micro_lamellae_pleurocystidia_encrustation,261,,,,,,,
micro_lamellae_pleurocystidia_wall_thickness,262,,,,,,,
micro_lamellae_pleurocystidia_individual_variation,263,,,,,,,
micro_lamellae_pleurocystidia_contents,264,,,,,,,
micro_lamellae_other_types_cystidia_present,265,,,,,,,
micro_lamellae_other_types_cystidia_form,266,,,,,,,
micro_lamellae_other_types_cystidia_width,267,,,,,,,
micro_lamellae_other_types_cystidia_height,268,,,,,,,
micro_lamellae_other_types_cystidia_capitula_width,269,,,,,,,
micro_lamellae_basidia_width,270,,,,,,,
micro_lamellae_basidia_height,271,,,,,,,
micro_lamellae_basidia_appearance_variation,272,,,,,,,
micro_lamellae_basidia_sterigmata_amount,273,,,,,,,
micro_lamellae_gill_trama_pattern,274,,Lookup Table,"Parallel, Subregular, Interwoven, Divergent [Bilateral], Divergent (Bilateral) & Multi-Sized, Convergent, Subcellular, etc.",,,,
micro_lamellae_subhymenium_pattern_type,275,,,,,,,
micro_lamellae_droplets_quttules_within_spore_present,276,,,,,,,
micro_lamellae_droplets_quttules_within_spore_quantity,277,,,,,,,
micro_lamellae_paracystidia_present,278,,,,,,,
micro_lamellae_carminophilous_basidia_present,279,,,,,,,
micro_lamellae_metachromatic_color_reaction_to_spore_wall_present,280,,,,,,,
micro_lamellae_coscinocystidia_present,281,,,,,,,
micro_lamellae_macrocystidia_present,282,,,,,,,
micro_stipe_trama,283,,,,,,,
micro_stipe_stipitipellis_form,284,,,,,,,
micro_stipe_cystidia_present,285,,,,,,,
micro_stipe_cystidia_width,286,,,,,,,
micro_stipe_cystidia_height,287,,,,,,,
micro_stipe_form,288,,,,,,,
micro_stipe_palisade_present,289,,,,,,,
micro_stipe_more_characters_pileus_cystidia_present,290,,,,,,,
micro_stipe_more_characters_pileus_cystidia_form,291,,,,,,,
micro_stipe_more_characters_pileus_cystidia_width,292,,,,,,,
micro_stipe_more_characters_pileus_cystidia_height,293,,,,,,,
micro_stipe_more_characters_caulocystidia_present,294,,,,,,,
micro_stipe_more_characters_caulocystidia_form,295,,,,,,,
micro_stipe_more_characters_caulocystidia_width,296,,,,,,,
micro_stipe_more_characters_caulocystidia_height,297,,,,,,,
micro_stipe_more_characters_chrysocystidia_present,298,,,,,,,
micro_stipe_more_characters_chrysocystidia_form,299,,,,,,,
micro_stipe_more_characters_chrysocystidia_width,300,,,,,,,
micro_stipe_more_characters_chrysocystidia_height,301,,,,,,,
micro_stipe_more_characters_mycelia_cystidia_present,302,,,,,,,
micro_stipe_more_characters_mycelia_cystidia_form,303,,,,,,,
micro_stipe_more_characters_mycelia_cystidia_width,304,,,,,,,
micro_stipe_more_characters_mycelia_cystidia_height,305,,,,,,,
micro_stipe_more_characters_brachycystidia_present,306,,,,,,,
micro_stipe_more_characters_brachycystidia_form,307,,,,,,,
micro_stipe_more_characters_brachycystidia_width,308,,,,,,,
micro_stipe_more_characters_brachycystidia_height,309,,,,,,,
micro_stipe_more_characters_lamprocystidia_present,310,,,,,,,
micro_stipe_more_characters_lamprocystidia_form,311,,,,,,,
micro_stipe_more_characters_lamprocystidia_width,312,,,,,,,
micro_stipe_more_characters_lamprocystidia_height,313,,,,,,,
micro_stipe_more_characters_mycelial_conidia,314,,,,,,,
micro_stipe_more_characters_sclerotia_layers,315,,,,,,,
micro_stipe_more_characters_sclerotia_hyphae_appearance,316,,,,,,,
micro_stipe_more_characters_cell_chemical_reaction_test_koh,317,,,,,,,
micro_stipe_more_characters_cell_chemical_reaction_test_lugols,318,,,,,,,
micro_stipe_more_characters_cell_chemical_reaction_test_sulfuric_acid,319,,,,,,,
micro_stipe_more_characters_melzers,320,,,,,,,
micro_stipe_more_characters_clamp_connection_present,321,,,,,,,
micro_stipe_more_characters_setae_present,322,,,,,,,
micro_stipe_more_characters_acanthocytesPresent,323,,,,,,,
micro_stipe_more_characters_basal_mycelium_crystals_present,324,,,,,,,
micro_stipe_more_characters_spores_exhibit_calyptration,325,,,,,,,
micro_stipe_more_characters_spores_exterior_exhibits_covering,326,,,,,,,
micro_stipe_more_characters_refractive_content_present,327,,,,,,,
micro_chemical_tests_sulfovanillin,328,,,,,,,
micro_chemical_tests_melzers,329,,,,,,,
chemosystematics_psilocybin_present,330,,,,,,,
chemosystematics_psilocybin_quantity,331,,,,,,,
chemosystematics_psilocin_present,332,,,,,,,
chemosystematics_psilocin_quantity,333,,,,,,,
chemosystematics_cyanescin_present,334,,,,,,,
chemosystematics_cyanescin_quantity,335,,,,,,,
chemosystematics_nor_cyanescin_present,336,,,,,,,
chemosystematics_nor_cyanescin_quantity,337,,,,,,,
chemosystematics_aeruginascin_present,338,,,,,,,
chemosystematics_aeruginascin_quantity,339,,,,,,,
chemosystematics_1_methylpsilocin_present,340,,,,,,,
chemosystematics_1_methylpsilocin_quantity,341,,,,,,,
chemosystematics_4_chloroindole_3_acetic_acid_4_CI_IAA_present,342,,,,,,,
chemosystematics_4_chloroindole_3_acetic_acid_4_CI_IAA_quantity,343,,,,,,,
chemosystematics_4_hydroxytryptophan_present,344,,,,,,,
chemosystematics_4_hydroxytryptophan_quantity,345,,,,,,,
chemosystematics_4_hydroxytryptamine_present,346,,,,,,,
chemosystematics_4_hydroxytryptamine_quantity,347,,,,,,,
chemosystematics_4_hydroxy_l_tryptophan_present,348,,,,,,,
chemosystematics_4_hydroxy_l_tryptophan_quantity,349,,,,,,,
chemosystematics_4_hydroxyindole_present,350,,,,,,,
chemosystematics_4_hydroxyindole_quantity,351,,,,,,,
chemosystematics_4_ho_met_present,352,,,,,,,
chemosystematics_4_ho_met_quantity,353,,,,,,,
chemosystematics_4_ho_mipt_present,354,,,,,,,
chemosystematics_4_ho_mipt_quantity,355,,,,,,,
chemosystematics_5_hydroxyindoleacetic_acid_present,356,,,,,,,
chemosystematics_5_hydroxyindoleacetic_acid_quantity,357,,,,,,,
chemosystematics_5_hydroxytryptamine_present,358,,,,,,,
chemosystematics_5_hydroxytryptamine_quantity,359,,,,,,,
chemosystematics_5_hydroxytryptophan_present,360,,,,,,,
chemosystematics_5_hydroxytryptophan_quantity,361,,,,,,,
chemosystematics_5_6_dihydroxyindole_dhi_present,362,,,,,,,
chemosystematics_5_6_dihydroxyindole_dhi_quantity,363,,,,,,,
chemosystematics_7_acetyl_4_methy_lazulene_1_carbalehyde_present,364,,,,,,,
chemosystematics_7_acetyl_4_methy_lazulene_1_carbaldehyde_quantity,365,,,,,,,
chemosystematics_7_isopropenyl_4_methyl_azulene_1_carboxyli_acid_present,366,,,,,,,
chemosystematics_7_isopropenyl_4_methyl_azulene_1_carboxylic_acid_quantity,367,,,,,,,
chemosystematics_methyl_stearate_present,368,,,,,,,
chemosystematics_methyl_stearate_quantity,369,,,,,,,
chemosystematics_15_hydroxy_3_6_dihydrolactarazulene_present,370,,,,,,,
chemosystematics_15_hydroxy_3_6_dihydrolactarazulene_quantity,371,,,,,,,
chemosystematics_15_hydroxy_6_7_dihydrolactarazulene_present,372,,,,,,,
chemosystematics_15_hydroxy_6_7_dihydrolactarazulene_quantity,373,,,,,,,
chemosystematics_amatoxins_present,374,,,,,,,
chemosystematics_amatoxins_quantity,375,,,,,,,
chemosystematics_amanitins_present,376,,,,,,,
chemosystematics_amanitins_quantity,377,,,,,,,
chemosystematics_azulene_present,378,,,,,,,
chemosystematics_azulene_quantity,379,,,,,,,
chemosystematics_b-carbolines_present,380,,,,,,,
chemosystematics_b-carbolines_quantity,381,,,,,,,
chemosystematics_baeocystin_1_present,382,,,,,,,
chemosystematics_baeocystin_1_quantity,383,,,,,,,
chemosystematics_bis_trimethyl_silyl_psilocybin_present,384,,,,,,,
chemosystematics_bis_trimethyl_silyl_psilocybin_quantity,385,,,,,,,
chemosystematics_bis_trimethyl_silyl_psilocin_present,386,,,,,,,
chemosystematics_bis_trimethyl_silyl_psilocin_quantity,387,,,,,,,
chemosystematics_bufotenin_present,388,,,,,,,
chemosystematics_bufotenin_quantity,389,,,,,,,
chemosystematics_bufotenidine_present,390,,,,,,,
chemosystematics_bufotenidine_quantity,391,,,,,,,
chemosystematics_cathinone_present,392,,,,,,,
chemosystematics_cathinone_quantity,393,,,,,,,
chemosystematics_chamazulene_present,394,,,,,,,
chemosystematics_chamazulene_quantity,395,,,,,,,
chemosystematics_d_lysergic_acid_present,396,,,,,,,
chemosystematics_d-lysergic_acid_quantity,397,,,,,,,
chemosystematics_dopa_present,398,,,,,,,
chemosystematics_dopa_quantity,399,,,,,,,
chemosystematics_dopamine_present,400,,,,,,,
chemosystematics_dopamine_quantity,401,,,,,,,
chemosystematics_dopaminechrome_present,402,,,,,,,
chemosystematics_dopaminechrome_quantity,403,,,,,,,
chemosystematics_dopamine_quinone_present,404,,,,,,,
chemosystematics_dopamine_quinone_quantity,405,,,,,,,
chemosystematics_guaiazulene_present,406,,,,,,,
chemosystematics_guaiazulene_quantity,407,,,,,,,
chemosystematics_gyrocyanin_present,408,,,,,,,
chemosystematics_gyrocyanin_quantity,409,,,,,,,
chemosystematics_harmane_present,410,,,,,,,
chemosystematics_harmane_quantity,411,,,,,,,
chemosystematics_harmine_present,412,,,,,,,
chemosystematics_harmine_quantity,413,,,,,,,
chemosystematics_harmol_present,414,,,,,,,
chemosystematics_harmol_quantity,415,,,,,,,
chemosystematics_hispidin_present,416,,,,,,,
chemosystematics_hispidin_quantity,417,,,,,,,
chemosystematics_indigoidine_present,418,,,,,,,
chemosystematics_indigoidine_quantity,419,,,,,,,
chemosystematics_indole_present,420,,,,,,,
chemosystematics_indole_quantity,421,,,,,,,
chemosystematics_indole_3_acetic_acid_present,422,,,,,,,
chemosystematics_indole_3_acetic_acid_quantity,423,,,,,,,
chemosystematics_indole_3_butyric_acid_present,424,,,,,,,
chemosystematics_indole_3_butyric_acid_quantity,425,,,,,,,
chemosystematics_indolyl_present,426,,,,,,,
chemosystematics_indolyl_quantity,427,,,,,,,
chemosystematics_isatin_present,428,,,,,,,
chemosystematics_isatin_quantity,429,,,,,,,
chemosystematics_leucochrome_present,430,,,,,,,
chemosystematics_leucochrome_quantity,431,,,,,,,
chemosystematics_luciferin_present,432,,,,,,,
chemosystematics_luciferin_quantity,433,,,,,,,
chemosystematics_luciferase_present,434,,,,,,,
chemosystematics_luciferase_quantity,435,,,,,,,
chemosystematics_matricin_present,436,,,,,,,
chemosystematics_matricin_quantity,437,,,,,,,
chemosystematics_melatonin_present,438,,,,,,,
chemosystematics_melatonin_quantity,439,,,,,,,
chemosystematics_monoamine_oxidase_inhibitors_present,440,,,,,,,
chemosystematics_monoamine_oxidase_inhibitors_quantity,441,,,,,,,
chemosystematics_muscarine_present,442,,,,,,,
chemosystematics_muscarine_quantity,443,,,,,,,
chemosystematics_n_methyltryptamine_present,444,,,,,,,
chemosystematics_n_methyltryptamine_quantity,445,,,,,,,
chemosystematics_n_n_dimethyltryptamine_present,446,,,,,,,
chemosystematics_n_n_dimethyltryptamine_quantity,447,,,,,,,
chemosystematics_n_acetylserotonin _nas_normelatonin_present,448,,,,,,,
chemosystematics_n_acetylserotonin _nas_normelatonin_quantity,449,,,,,,,
chemosystematics_nitric_oxide_present,450,,,,,,,
chemosystematics_nitric_oxide_quantity,451,,,,,,,
chemosystematics_norepinephrine_present,452,,,,,,,
chemosystematics_norepinephrine_quantity,453,,,,,,,
chemosystematics_norharmine_present,454,,,,,,,
chemosystematics_norharmine_quantity,455,,,,,,,
chemosystematics_norpsilocin_present,456,,,,,,,
chemosystematics_norpsilocin_quantity,457,,,,,,,
chemosystematics_oxindole_2_Indolone_present,458,,,,,,,
